"","folio","fecha_creacion","hora_creacion","dia_semana","fecha_cierre","hora_cierre","incidente_c4","delegacion_inicio","latitud","longitud","codigo_cierre","clas_con_f_alarma","tipo_entrada","delegacion_cierre","ano","mes"
"1","C5/210201/04663","01/02/2021",19:14:39,"Lunes","01/02/2021",20:36:48,"accidente-choque con lesionados","GUSTAVO A. MADERO",19.46157003,-99.11521008,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"2","C5/210201/00391","01/02/2021",01:02:02,"Lunes","01/02/2021",01:20:09,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.47143997,-99.08177004,"N","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"3","C5/210201/03815","01/02/2021",16:49:58,"Lunes","01/02/2021",19:11:53,"accidente-choque con lesionados","MIGUEL HIDALGO",19.44068004,-99.19098,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"4","C5/210201/02068","01/02/2021",11:10:52,"Lunes","01/02/2021",12:24:56,"accidente-choque sin lesionados","COYOACAN",19.34258004,-99.14888988,"A","EMERGENCIA","LLAMADA DEL 911","COYOACAN",2021,2
"5","C5/210201/03832","01/02/2021",16:52:41,"Lunes","01/02/2021",17:38:14,"accidente-choque con lesionados","TLALPAN",19.200021,-99.138111,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","TLALPAN",2021,2
"6","C5/210201/04700","01/02/2021",19:23:09,"Lunes","01/02/2021",20:14:56,"accidente-motociclista","IZTAPALAPA",19.38247002,-99.06099012,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"7","C5/210201/00433","01/02/2021",01:11:09,"Lunes","01/02/2021",04:04:20,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.48485996,-99.06963984,"A","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"8","C5/210201/02094","01/02/2021",11:15:17,"Lunes","01/02/2021",11:18:40,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.46388996,-99.12526992,"D","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"9","C5/210201/03848","01/02/2021",16:54:48,"Lunes","01/02/2021",17:01:11,"lesionado-atropellado","VENUSTIANO CARRANZA",19.42837002,-99.09555012,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"10","C5/210201/03860","01/02/2021",16:52:03,"Lunes","01/02/2021",17:11:27,"accidente-choque con prensados","TLALPAN",19.19958003,-99.14181984,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","TLALPAN",2021,2
"11","C5/210201/00489","01/02/2021",01:23:12,"Lunes","01/02/2021",01:43:20,"lesionado-atropellado","CUAUHTEMOC",19.40423004,-99.12576996,"N","URGENCIAS MEDICAS","LLAMADA APP911","VENUSTIANO CARRANZA",2021,2
"12","C5/210201/02199","01/02/2021",11:38:53,"Lunes","01/02/2021",12:36:32,"lesionado-atropellado","CUAUHTEMOC",19.44212004,-99.15102,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","CUAUHTEMOC",2021,2
"13","C5/210201/03870","01/02/2021",16:58:24,"Lunes","01/02/2021",20:09:22,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.46748996,-99.11669004,"A","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"14","C5/210201/03874","01/02/2021",16:59:20,"Lunes","01/02/2021",18:24:10,"accidente-choque sin lesionados","BENITO JUAREZ",19.39168998,-99.15087996,"N","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"15","C5/210201/03878","01/02/2021",16:59:10,"Lunes","01/02/2021",17:14:08,"accidente-choque con lesionados","GUSTAVO A. MADERO",19.48473999,-99.07392996,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"16","C5/210201/03886","01/02/2021",17:01:07,"Lunes","01/02/2021",18:10:59,"accidente-choque sin lesionados","IZTAPALAPA",19.32156,-99.03800016,"N","EMERGENCIA","LLAMADA DEL 911","IZTAPALAPA",2021,2
"17","C5/210201/03887","01/02/2021",17:01:43,"Lunes","01/02/2021",17:15:12,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.48473999,-99.07392996,"D","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"18","C5/210201/03907","01/02/2021",17:05:34,"Lunes","01/02/2021",20:46:17,"accidente-choque sin lesionados","VENUSTIANO CARRANZA",19.44647001,-99.08784,"A","EMERGENCIA","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"19","C5/210201/04784","01/02/2021",19:39:09,"Lunes","01/02/2021",21:27:51,"accidente-choque con lesionados","IZTAPALAPA",19.34571996,-99.06282,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"20","C5/210201/04796","01/02/2021",19:39:53,"Lunes","01/02/2021",19:47:30,"accidente-choque con lesionados","IZTAPALAPA",19.3446,-99.06129,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"21","C5/210201/04882","01/02/2021",19:57:15,"Lunes","01/02/2021",19:59:22,"accidente-choque con lesionados","IZTAPALAPA",19.3446,-99.06129,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"22","C5/210201/04890","01/02/2021",19:59:38,"Lunes","01/02/2021",20:06:34,"accidente-choque con lesionados","IZTACALCO",19.40897997,-99.0765,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTACALCO",2021,2
"23","C5/210201/04891","01/02/2021",19:58:44,"Lunes","01/02/2021",20:02:22,"accidente-choque sin lesionados","COYOACAN",19.30048002,-99.15971004,"D","EMERGENCIA","LLAMADA DEL 911","COYOACAN",2021,2
"24","C5/210201/04894","01/02/2021",19:59:07,"Lunes","01/02/2021",20:23:08,"lesionado-atropellado","XOCHIMILCO",19.25057997,-99.09645012,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","XOCHIMILCO",2021,2
"25","C5/210201/04897","01/02/2021",20:00:36,"Lunes","01/02/2021",20:16:02,"accidente-choque sin lesionados","IZTAPALAPA",19.39849002,-99.05829984,"A","EMERGENCIA","LLAMADA DEL 911","IZTAPALAPA",2021,2
"26","C5/210201/04901","01/02/2021",20:01:13,"Lunes","01/02/2021",20:03:09,"accidente-choque con lesionados","IZTACALCO",19.40841999,-99.07683984,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTACALCO",2021,2
"27","C5/210201/04915","01/02/2021",20:03:59,"Lunes","01/02/2021",20:42:58,"accidente-choque sin lesionados","IZTAPALAPA",19.33860996,-99.08138016,"N","EMERGENCIA","LLAMADA DEL 911","IZTAPALAPA",2021,2
"28","IZ/210201/02660","01/02/2021",13:02:55,"Lunes","01/02/2021",15:45:14,"accidente-choque con lesionados","TLAHUAC",19.297748,-99.028345,"D","URGENCIAS MEDICAS","BOTÓN DE AUXILIO","TLAHUAC",2021,2
